Paper id (increasing array from 0);What is the article's page numbers in the conference paper?;What is the article's title?;Who are the authors? (Last name only);Which year is the article from? (Conference publication year);Is the article about classification (n/reasoning or y/quote);Which part of body or disease is the article about? (own words);What is the aim/task of the article? (quote);What is the justification for this task? (quote);How many citations does the article have?;When are the citations from? (range, oldest to newest);List of citations, years published;Which method is used for classification? (quote);Which performance measures are used? (quote);Does the article use segmentation as preprocessing? (n/reasoning or y/quote);Does the used dataset have a title? (n/reasoning or y/quote);What is the size of the dataset (input quote);What type is the dataset, public, private, other? (quote/reasoning);Is the survey/method of how the dataset was obtained accessible? (no/reasoning or y/quote);Does the dataset have any mention of demographics of patients/images included? (n/reasoning or y/quote);Does the article mention the intent for collecting the dataset, the task intended? (n/reasoning or y/quote);Does the article disclose any affiliations? (n/reasoning or y/quote);(Menlo ethics 1/4) Does the article include anything about respect for persons (informed consent, voluntary participation) participating in the dataset? (n/reasoning or y/quote);(Menlo ethics 2/4) Does the article have any mention of benefience, minimising risk/maximising benefit of work? (n/reasoning or y/quote);(Menlo ethics 3/4) Does the article have any mention of justice (equal treatment, fair selection of subjects)? (n/reasoning or y/quote) ;(Menlo ethics 4/4) Does the article mention any respect for law/public interest (transparency in methods/results, accountability for actions)? (n/reasoning or y/quote);Are there any other comments/interesting aspects?
0;34-41;Surgical Gesture Classification from Video Data;Haro, Zappella, Vidal;2012;"y/""we propose and evaluate three approaches to surgical gesture classification from video.""";Surgical gestures;!!!;"""Most of the prior work on surgical gesture recognition (see, e.g., [4-6]) uses hidden Markov models (HMMs) to analyze kinematic data stored by the robot (…) Overall, our main conclusion is that methods based on video data perform equally well as methods based n kinematic data for a typical surgical training setup.""";26;1999-2012;2002, 2001, 2008, 2005, 2009, 2011, 2009, 2006, 2012, 2010, 2012, 2011, 2003, 2009, 2002, 2000, 1999, 2005, 1008, 2009, 2009, 2009, 2001;"""In the first one, we model each video clip from each surgical gesture as the output of a linear dynamical system (LDS) and use metrics in the space of LDSs to classify new video clips. In the second one, we use spatio-temporal features extracted from each video clip to learn a dictionary of spatio-temporal words and use a bag-of-features (BoF) approach to classify new video clips. In the third approach, we use multiple kernel learning to combine the LDS and BoF approaches.""";"""The performance is measured as the percentage of correctly identified surgemes averaged over all tests and repetitions for each setup""";"n/There is no mention of segmentation, but the article does write: ""We assume that each video is segmented into video surgemes"", so the segmentation has been done prior to the work in this article. Later they write: ""the data was manually segmented based on the surgeme's definition of [3].""";"y/""For our tests we used the California dataset [3].""";"""The dataset consists of three different tasks: suturing (SU, 39 trials), needle passing (NP, 26 trials) and knot tying (KT, 36 trials). Each task is performed by 8 surgeons with different skill levels.""";"Private/There is no mention of a public dataset, and the article writes ""The authors thank Intuitive Surgical and Carol Reiley for providing the dataset""";n/Upon searching for the dataset nothing has been found, other than the article referenced;"n/no mention of demographics, though the article does specify that ""Each task is performed by 8 surgeons with different skill levels""";n/the article contains no mention of intent of data collection;"y/""This work was funded by NSF grants 0931805 and 0941362, and by the Talentia Fellowships Programme of the Andalusian Regional Ministry of Economy, Innovation and Science""";n/ the article contains no information about the surgeons in the dataset or the patients they were presumably operating on;n/the focus of the article is to promote a new method, mode of analysis, and does not mention any risk or benefit other than the usefulness of this new method;n/there is no mention of this;n/the article has no mention of this;n
1;74-81;Thoracic Abnormality Detection with Data Adaptive Structure Estimation;Song, Cai, Zhou, Feng;2012;y;Lungs;Detecting lung tumors and abnormal lymph nodes ;Improving lung cancer staging, especially complex cases - also created a method that they say can be generalised to other areas;!!;;;binary linear-kernel SVM (but describe a whole lot more prior to this);They have a section called structure estimation, which may be this, but not sure!;n, I think?;clinical PET-CT datasets from lung cancer patients from Royal Prince Alfred Hospital, Sydney;50 sets of images;not mentioned, but think private?;n;;not mentioned;No mention;n;;;;
2;115-123;Structure and Context in Prostatic Gland Segmentation and Classification;Nguyen, Sarkar, Jain;2012;y;Prostate;Classifying prostate cancer;A novel gland segmentation and classification scheme, better than previou;!!;;;linear SVM;10 fold cross validation, report the average classification accuracy;y;no title;48 images;not mentioned;n;;not mentioned;No mention;n;;;;
3;132-140;Genetic, Structural and Functional Imaging Biomarkers for Early Detection of Conversion from MCI to AD;Singh, Wang, Sankaranarayanan, Fletcher and Joshi;2012;y;Alzheimers;Predicting conversion of individuals with Mild Cognitive Impairment (MCI) to Alzheimers Disease (AD);building on technological advancement, filling a 'need' for a unified framework to aid diagnosis of AD;!!;;;partial least squares? ;test subjects were later evaluated manually for AD, results were measured against these results;y;images from Alzheimers Disease Neuroimaging Initiaitve database;242 individuals;seems public, or at least accessible to researchers (but website is not currently reachable);;;;Funded by several NSF and NIH grants and the Alzheimer's Disease Neuroimaging Initiaitve;n;;;;
4;141-148;Robust MR Spine Detection Using Hierarchial Learning and Local Articulated Model;Zhan, Maneesh, Harder, Zhou;2012;y;Spine;Creating a clinically acceptable auto-spine detection system, localizing and labeling vertebrae and discs;A robust, novel method for 3D - building on previous models that work better in 2D;!!;;;hierarchial learning and local articulated model;Results were evaluated and labeled by radiologists as perfect, acceptable and rejected;n;no title;"405 images were used from ""different clinical sites""";not mentioned, but think private?;n;;not mentioned;No mention;n;;;;
5;165-172;Detectioni of Spontaneous Vesicle Release at Individual Synapses Using Multiple Wavelets in a CWT-Based Algorithm;Sokoll, Tönnies, Heine;2012;?;Brain;Detection of spontaneous activity at individual synapses in microscopy images;Neurobiologists find this useful;!!;;;continual multiple wavelets based algorithm;ground truth eval (which failed) and against real data and synthetic data;;no title;rat neurons were used, 123 synapse signals from four images;not mentioned, no organised dataset it would appear;n;;not mentioned;No mention;n;;;;This is the most convoluted article so far, understood very little, and seemed like their method wasn't exactly good?
6;206-213;Classification of Ambigious Nerve Fiber Orientations in 3D Polarized Light Imaging;Kleiner, Axer, Grässel, Reckfort, Pietrzyk, Amunts, Dickscheid;2012;y;Brain;Mapping fiber tracts in the brain (connections between nerve cells?) and the sign of the fiber inclination angle;Improving accuracy, building on current work;!!;;;binary labeling problem solved by Markov random field theory;evaluation section I do not understand;n;no title;2 used, one synthetic, created by the researchers, the other was from three post mortem brains;not mentioned, no organised dataset it would appear;n;;not mentioned;No mention;n;;;;
7;298-306;Oriented Pattern Analysis for Streak Detection in Dermoscopy Images;Sadeghi, Lee, McLean, Lui, Atkins;2012;y;Skin (cancer);Classifying dermoscoy images into streaks Absent or Present;To meet demand for computer aided early diagnosis of deadly melanoma;!!;;;Laplacian of Gaussian finds linear structures, then Averaged Squared Gradient Flow algorithm determins the orientation ;ten fold cross validation;y;no title;300 dermoscopy images, 250 randomly chosen from 2 atlases and 50 from experts' archives with permission;so partially private and public, I think the ones from the atlas could be found (there is a link to a physical book/cdrom);n;;not mentioned;Funded by Canadian NSERC, CIHR-skin reseach training center and a grant from the Canadian Health Reseach Project;n;;;;
8;315-322;Intrinsic Melanin and Hemoglobin Colour Components for Skin Lesion Malignancy Detection;Madooei, Drew, Sadeghi, Atkins;2012;y;Skin (cancer);Malignant vs benign skin lesion classification;an extension of previous approaches;!!;;;Logistic classifier;10 fold cross validation, f-measure, AUC, precision, recall;y (I think its preprocessing at least);no title;500 images are mentioned, a long with a dataset from a different article;not mentioned;n;;not mentioned;No mention;n;;;;
9;331-339;Apoptosis Detection for Adherent Cell Populations in Time-Lapse Phase-Constrast Microscopy images;Huh, Ker, Su, Kanade;2012;y;Myoblastic stem cells;Detecting apoptosis, programmed cell death;critical for furthering understanding of biology, normal tissue development and disease progression;!!;;;linear Support Vector Machine (SVM);precision, recall;n;no title;3 cell populations, 540 images;not mentioned;n;;not mentioned;No mention;n;;;;Actually includes pseudocode for proposed algorithm
